target,action,timestamp,status
instagram,unfollow,2025-05-18T18:31:24.700461,success
cristiano,follow,2025-05-18T18:31:36.302701,success
leomessi,follow,2025-05-18T18:31:49.718210,success
therock,follow,2025-05-18T18:32:02.524635,success
kyliejenner,unfollow,2025-05-18T18:32:10.741686,success
selenagomez,unfollow,2025-05-18T18:32:20.341999,success
kimkardashian,unfollow,2025-05-18T18:32:38.627987,success
beyonce,follow,2025-05-18T18:32:46.190811,success
arianagrande,follow,2025-05-18T18:32:56.357191,success
taylorswift,unfollow,2025-05-18T18:33:08.610954,success
neymarjr,follow,2025-05-18T18:33:26.771048,success
nickiminaj,follow,2025-05-18T18:33:47.361666,success
justinbieber,unfollow,2025-05-18T18:33:57.657646,success
kendalljenner,unfollow,2025-05-18T18:34:10.038084,success
natgeo,unfollow,2025-05-18T18:35:51.661640,success
virat.kohli,unfollow,2025-05-18T18:36:12.282663,success
zendaya,unfollow,2025-05-18T18:36:23.309370,success
kevinhart4real,follow,2025-05-18T18:36:38.260369,success
theellenshow,follow,2025-05-18T18:36:51.263601,success
realmadrid,unfollow,2025-05-18T18:37:29.013627,success
nasa,follow,2025-05-18T18:38:59.207117,success
champagnepapi,follow,2025-05-18T18:39:17.921663,success
badgalriri,follow,2025-05-18T18:39:33.403477,success
kingjames,unfollow,2025-05-18T18:39:53.109083,success
billieeilish,follow,2025-05-18T18:41:06.598990,success
chrisbrownofficial,follow,2025-05-18T18:41:20.225618,success
dualipa,follow,2025-05-18T18:41:37.719526,success
nike,follow,2025-05-18T18:41:56.775091,success
adidas,follow,2025-05-18T18:42:09.104201,success
shakira,follow,2025-05-18T18:43:14.775345,success
jlo,follow,2025-05-18T18:43:57.654661,success
emmawatson,follow,2025-05-18T18:44:08.710929,success
priyankachopra,unfollow,2025-05-18T18:44:18.127433,success
gal_gadot,unfollow,2025-05-18T18:44:29.974770,success
vindiesel,unfollow,2025-05-18T18:44:40.765615,success
kourtneykardash,unfollow,2025-05-18T18:45:05.552044,success
khloekardashian,unfollow,2025-05-18T18:45:17.660402,success
krisjenner,follow,2025-05-18T18:45:28.190910,success
ddlovato,follow,2025-05-18T18:45:40.329265,success
shawnmendes,follow,2025-05-18T18:46:18.990991,success
camila_cabello,follow,2025-05-18T18:46:27.393673,success
brunomars,follow,2025-05-18T18:46:36.741405,success
jbalvin,unfollow,2025-05-18T18:46:44.063270,success
maluma,unfollow,2025-05-18T18:46:55.026223,success
karimbenzema,unfollow,2025-05-18T18:47:08.680977,success
lewishamilton,follow,2025-05-18T18:47:27.180583,success
declanrice,follow,2025-05-18T18:48:50.762691,success
