target,action,timestamp,status
fcbarcelona,unfollow,2025-05-18T18:37:45.508593,fail
dwaynejohnson,follow,2025-05-18T18:44:56.642733,fail
neymar,unfollow,2025-05-18T18:48:42.529969,fail
