target,action,timestamp,status
instagram,follow,2025-05-18T16:21:47.060891,success
cristiano,unfollow,2025-05-18T16:21:59.234174,success
leomessi,unfollow,2025-05-18T16:22:06.067257,success
therock,unfollow,2025-05-18T16:22:17.669682,success
kyliejenner,follow,2025-05-18T16:22:25.445704,success
selenagomez,follow,2025-05-18T16:22:35.147278,success
kimkardashian,follow,2025-05-18T16:22:45.257660,success
beyonce,unfollow,2025-05-18T16:22:54.340171,success
arianagrande,unfollow,2025-05-18T16:23:01.096835,success
taylorswift,follow,2025-05-18T16:23:09.374055,success
neymarjr,unfollow,2025-05-18T16:23:21.503642,success
nickiminaj,unfollow,2025-05-18T16:23:32.549408,success
justinbieber,follow,2025-05-18T16:23:43.688660,success
kendalljenner,follow,2025-05-18T16:23:54.908789,success
natgeo,follow,2025-05-18T16:24:05.482911,success
virat.kohli,follow,2025-05-18T16:24:12.541917,success
zendaya,follow,2025-05-18T16:24:31.586524,success
kevinhart4real,unfollow,2025-05-18T16:24:46.953197,success
theellenshow,unfollow,2025-05-18T16:24:57.408560,success
realmadrid,unfollow,2025-05-18T16:25:08.294525,success
